conflictIndex,flight1,flight2,lat1,lat2,lon1,lon2,time1,time2
5089,355,724,41.242679595947266,41.23940658569336,-73.81791687011719,-73.82357788085938,1005.0,1010.0
5090,355,831,45.61998748779297,45.6185417175293,-65.34224700927734,-65.2391357421875,937.0,943.0
5091,355,854,45.56026840209961,45.551727294921875,-65.47627258300781,-65.29707336425781,938.0,935.0
5092,355,881,49.41244888305664,49.40517044067383,-55.094173431396484,-55.09242630004883,865.0,898.0
5093,355,882,45.56026840209961,45.56249237060547,-65.47627258300781,-64.67323303222656,938.0,934.0
5094,355,907,47.37860107421875,47.37080383300781,-61.07395935058594,-61.07455825805664,906.0,930.0
5095,356,357,58.1151008605957,58.11928176879883,-58.87491226196289,-58.59224319458008,817.0,829.0
5096,356,359,41.98164749145508,41.98164749145508,-87.90666961669922,-87.90666961669922,1005.0,1018.0
5097,356,367,41.98164749145508,41.98164749145508,-87.90666961669922,-87.90666961669922,1005.0,1029.0
5098,356,368,47.46329116821289,47.46329116821289,8.549894332885742,8.549894332885742,510.0,511.0
5099,356,371,47.46329116821289,47.46329116821289,8.549894332885742,8.549894332885742,510.0,519.0
5100,356,374,47.46329116821289,47.46329116821289,8.549894332885742,8.549894332885742,510.0,547.0
5101,356,380,60.409446716308594,60.405372619628906,-46.83636474609375,-46.84543991088867,766.0,805.0
5102,356,381,60.7502326965332,60.75718688964844,-39.449424743652344,-39.445045471191406,739.0,765.0
5103,356,382,41.98164749145508,41.98164749145508,-87.90666961669922,-87.90666961669922,1005.0,1020.0
5104,356,399,58.1151008605957,58.11928176879883,-58.87491226196289,-58.59224319458008,817.0,857.0
5105,356,400,47.46329116821289,47.46329116821289,8.549894332885742,8.549894332885742,510.0,544.0
5106,356,402,41.98164749145508,41.98164749145508,-87.90666961669922,-87.90666961669922,1005.0,1048.0
5107,357,359,58.11928176879883,58.11820983886719,-58.59224319458008,-58.04005813598633,829.0,822.0
5108,357,360,51.86746597290039,51.867820739746094,-73.46968841552734,-73.667724609375,908.0,903.0
5109,357,361,51.86746597290039,51.86075210571289,-73.46968841552734,-73.50455474853516,908.0,913.0
5110,357,367,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,580.0,594.0
5111,357,367,55.00044250488281,55.00263214111328,-67.31027221679688,-67.5132827758789,872.0,888.0
5112,357,369,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,580.0,587.0
5113,357,371,60.374473571777344,60.38251495361328,-30.028074264526367,-30.0246639251709,722.0,717.0
5114,357,372,53.52086639404297,53.5268669128418,-70.48837280273438,-70.48751068115234,890.0,903.0
5115,357,375,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,580.0,589.0
5116,357,378,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,580.0,593.0
5117,357,386,51.86746597290039,51.867149353027344,-73.46968841552734,-73.62669372558594,908.0,924.0
5118,357,394,51.833274841308594,51.84136962890625,-0.8050810098648071,-0.9283154010772705,583.0,608.0
5119,357,396,52.154937744140625,52.15913772583008,-72.99205780029297,-72.97405242919922,905.0,899.0
5120,357,400,60.374473571777344,60.38251495361328,-30.028074264526367,-30.0246639251709,722.0,742.0
5121,357,406,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,580.0,623.0
5122,357,410,29.984434127807617,29.984434127807617,-95.34143829345703,-95.34143829345703,1107.0,1095.0
5123,357,415,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,580.0,614.0
5124,357,417,51.477500915527344,51.477500915527344,-0.4613890051841736,-0.4613890051841736,580.0,614.0
